delta Time, Unix Time, pr1, pr2, pr3, pr4, pr5
0.888965845108,1577147222.61,440,899,634,700,285
0.913826942444,1577147222.63,440,898,633,699,286
0.938215017319,1577147222.65,440,899,633,698,286
0.958662986755,1577147222.68,438,899,633,698,282
0.983190059662,1577147222.7,440,899,633,700,286
1.00397801399,1577147222.72,440,899,633,699,286
1.02851390839,1577147222.75,437,900,632,698,282
1.05279397964,1577147222.77,440,898,633,700,285
1.07365298271,1577147222.79,441,900,633,700,284
1.09782099724,1577147222.81,438,900,633,699,285
1.11853599548,1577147222.84,439,899,634,698,284
1.14288592339,1577147222.86,438,898,632,698,282
1.16764903069,1577147222.88,439,900,632,699,285
1.18823289871,1577147222.9,437,899,633,698,283
1.21251702309,1577147222.93,438,899,632,698,281
1.23324584961,1577147222.95,439,900,633,698,283
1.25777602196,1577147222.97,438,899,633,698,283
1.27823495865,1577147222.99,437,900,631,700,282
1.3026740551,1577147223.02,438,898,632,697,282
1.3273768425,1577147223.04,437,899,632,696,281
1.34796690941,1577147223.06,438,899,633,700,283
1.37222003937,1577147223.09,438,899,631,698,281
1.39281201363,1577147223.11,437,899,632,698,280
1.41760492325,1577147223.13,437,899,633,698,281
1.44186496735,1577147223.16,439,898,632,699,282
1.46237587929,1577147223.18,438,899,632,699,282
1.48708486557,1577147223.2,437,900,633,697,281
1.50761198997,1577147223.22,437,897,631,698,280
1.53212690353,1577147223.25,438,900,631,699,283
1.55645704269,1577147223.27,437,900,633,698,282
1.57729005814,1577147223.29,437,898,632,698,280
1.60182404518,1577147223.32,438,900,633,699,283
1.62207603455,1577147223.34,438,899,632,698,283
1.64681982994,1577147223.36,436,900,633,698,281
1.66738390923,1577147223.38,437,898,632,698,281
1.69171500206,1577147223.41,436,899,631,697,280
1.71620798111,1577147223.43,437,899,633,699,282
1.73706102371,1577147223.45,437,899,633,699,280
1.76157402992,1577147223.48,435,897,631,697,280
1.78185105324,1577147223.5,437,900,632,697,280
1.80649995804,1577147223.52,437,900,632,699,281
1.83095097542,1577147223.55,437,899,631,698,282
1.85165190697,1577147223.57,436,900,633,697,280
1.87594294548,1577147223.59,435,899,632,697,279
1.89672684669,1577147223.61,438,899,632,699,281
1.92133498192,1577147223.64,435,900,632,698,280
1.94559597969,1577147223.66,434,899,632,697,276
1.96619296074,1577147223.68,437,899,633,698,281
1.99073696136,1577147223.71,436,900,631,698,280
2.01139092445,1577147223.73,434,900,632,696,279
2.0356259346,1577147223.75,437,899,632,697,277
2.05647301674,1577147223.77,436,899,631,697,277
2.08101701736,1577147223.8,436,900,632,696,280
2.10549783707,1577147223.82,436,898,632,695,277
2.12597990036,1577147223.84,434,899,630,696,276
2.15051484108,1577147223.87,435,899,631,696,278
2.17110490799,1577147223.89,435,899,632,697,276
2.19539403915,1577147223.91,434,898,630,697,275
2.22012686729,1577147223.94,435,899,631,696,276
2.24067282677,1577147223.96,433,898,629,696,273
2.26521992683,1577147223.98,435,897,632,697,276
2.28590202332,1577147224,436,898,631,697,275
2.31000804901,1577147224.03,432,900,630,697,272
2.33477401733,1577147224.05,434,899,632,697,275
2.3552980423,1577147224.07,435,898,631,698,274
2.37989902496,1577147224.1,433,899,630,697,273
2.40049886703,1577147224.12,433,899,632,697,272
2.4246609211,1577147224.14,434,899,630,697,272
2.44529891014,1577147224.16,434,899,630,697,274
2.46996283531,1577147224.19,434,897,631,697,273
2.49455189705,1577147224.21,433,898,630,697,271
2.51489496231,1577147224.23,434,899,630,697,273
2.53966283798,1577147224.26,434,898,631,697,273
2.56008505821,1577147224.28,433,898,629,697,271
2.58466887474,1577147224.3,434,898,629,696,272
2.60912394524,1577147224.33,433,898,628,694,271
2.62977004051,1577147224.35,434,897,629,697,273
2.65419197083,1577147224.37,433,898,628,697,272
2.67481088638,1577147224.39,433,899,628,695,270
2.69919490814,1577147224.42,433,897,629,696,272
2.72395205498,1577147224.44,435,896,628,697,273
2.74440288544,1577147224.46,434,898,627,696,271
2.76867985725,1577147224.49,434,898,629,695,271
2.7896490097,1577147224.51,435,897,629,697,272
2.81391406059,1577147224.53,435,898,628,698,274
2.83448505402,1577147224.55,435,898,629,696,273
2.85892605782,1577147224.58,434,896,628,696,271
2.88366293907,1577147224.6,436,897,628,697,274
2.9040620327,1577147224.62,435,898,629,696,273
2.928565979,1577147224.65,434,897,628,696,271
2.9493060112,1577147224.67,434,897,627,695,273
2.97385382652,1577147224.69,435,896,628,693,273
2.99818491936,1577147224.71,436,899,629,696,273
3.01865506172,1577147224.74,436,897,628,695,273
3.04314303398,1577147224.76,435,898,628,693,273
3.06374287605,1577147224.78,435,897,628,696,274
3.088326931,1577147224.8,436,897,629,697,273
3.11277699471,1577147224.83,434,897,629,698,273
3.13337302208,1577147224.85,435,898,630,695,272
3.15790104866,1577147224.87,434,897,630,697,272
3.17837905884,1577147224.9,435,897,629,697,274
3.20300793648,1577147224.92,433,899,628,696,272
3.22364997864,1577147224.94,433,897,629,694,271
3.24820303917,1577147224.96,436,898,630,697,274
3.27260398865,1577147224.99,435,899,629,697,273
3.29338598251,1577147225.01,433,898,630,696,272
3.3178999424,1577147225.03,435,898,629,698,273
3.33817386627,1577147225.05,435,898,629,696,273
3.36269903183,1577147225.08,434,898,630,697,274
3.38735389709,1577147225.1,433,896,629,697,272
3.40782904625,1577147225.12,433,898,628,696,271
3.43218994141,1577147225.15,435,898,630,697,273
3.45306301117,1577147225.17,434,897,629,699,271
3.47728300095,1577147225.19,434,898,628,697,271
3.50188589096,1577147225.22,435,898,631,697,272
3.52255105972,1577147225.24,434,898,629,700,271
3.54710388184,1577147225.26,435,897,628,701,273
3.56766700745,1577147225.28,434,898,629,699,271
3.59227490425,1577147225.31,433,897,628,699,269
3.61269688606,1577147225.33,435,897,628,701,272
3.63739299774,1577147225.35,435,897,628,700,273
3.66153788567,1577147225.38,434,897,628,699,270
3.6822488308,1577147225.4,434,894,629,699,272
3.70666599274,1577147225.42,436,897,627,700,272
3.72714686394,1577147225.44,434,898,629,700,272
3.75171089172,1577147225.47,435,896,629,700,272
3.77643585205,1577147225.49,433,897,627,700,271
3.79695987701,1577147225.51,434,897,628,700,273
3.82160496712,1577147225.54,434,896,630,700,272
3.84194803238,1577147225.56,433,897,629,701,270
3.86647391319,1577147225.58,435,897,629,699,271
3.89103198051,1577147225.61,434,897,629,700,271
3.91139101982,1577147225.63,433,897,628,701,272
3.93583488464,1577147225.65,434,896,629,699,272
3.95675301552,1577147225.67,433,897,628,699,268
3.98121905327,1577147225.7,435,898,629,701,272
4.00157189369,1577147225.72,435,897,629,701,273
4.02610182762,1577147225.74,433,898,629,699,270
4.05081391335,1577147225.77,434,897,629,700,271
4.07114386559,1577147225.79,435,897,628,700,272
4.09591293335,1577147225.81,434,899,628,701,272
4.11652398109,1577147225.83,432,897,629,700,271
4.14067482948,1577147225.86,434,897,628,701,271
4.165143013,1577147225.88,434,897,629,700,273
4.18583202362,1577147225.9,434,896,630,699,272
4.21040987968,1577147225.93,435,896,629,701,271
4.23098301888,1577147225.95,435,898,629,701,273
4.2553999424,1577147225.97,434,898,630,700,273
4.28008389473,1577147226,434,898,630,702,272
4.30078887939,1577147226.02,435,898,630,700,272
4.32512903214,1577147226.04,432,898,629,699,271
4.34565401077,1577147226.06,435,897,630,702,273
4.37020993233,1577147226.09,435,897,629,701,273
4.39067387581,1577147226.11,433,898,630,699,272
4.41541290283,1577147226.13,435,898,630,701,272
4.43960905075,1577147226.16,437,899,631,700,275
