delta Time, Unix Time,time, pr1, pr2, pr3, pr4, pr5,avg,delta,dn/dt,label,,,,,,,,,,,,,,,,,,,,,
2.05551600456,1577122812.53,2.05999994277954,457,869,639,478,319,552.4,-25.2,-16.3880009805081,FIST,58,26537,50058,36943,27437,18433,,,,,,12141675,43204876,23531313,12982871,5858337,,,,,
2.07623386383,1577122812.55,2.07999992370605,457,869,639,477,320,552.4,-25.2,0,FIST,59,26994,50927,37582,27914,18753,,,,,,12350524,43960037,23939634,13210400,5960737,,,,,
2.10060405731,1577122812.57,2.09999990463257,454,869,639,478,320,552,-25.6,-16.4134929961984,FIST,60,27448,51796,38221,28392,19073,,,,,,12556640,44715198,24347955,13438884,6063137,,,,,
2.12506985664,1577122812.6,2.12999987602234,457,868,639,479,320,552.6,-25,24.5240301331295,FIST,61,27905,52664,38860,28871,19393,,,,,,12765489,45468622,24756276,13668325,6165537,,,,,
2.14560294151,1577122812.62,2.14999985694885,457,869,639,478,319,552.4,-25.2,-9.74037760357473,FIST,62,28362,53533,39499,29349,19712,,,,,,12974338,46223783,25164597,13896809,6267298,,,,,
2.17036294937,1577122812.64,2.17000007629395,457,870,639,479,319,552.8,-24.8000000000001,16.155083724597,FIST,63,28819,54403,40138,29828,20031,,,,,,13183187,46980683,25572918,14126250,6369059,,,,,
2.19082999229,1577122812.66,2.19000005722046,457,869,640,479,320,553,-24.6,9.77180732858137,FIST,64,29276,55272,40778,30307,20351,,,,,,13392036,47735844,25982518,14355691,6471459,,,,,
2.21535396576,1577122812.69,2.22000002861023,457,869,639,479,318,552.4,-25.2,-24.4658558587171,FIST,65,29733,56141,41417,30786,20669,,,,,,13600885,48491005,26390839,14585132,6572583,,,,,
2.23588299751,1577122812.71,2.24000000953674,456,869,639,480,319,552.6,-25,9.74230068108514,FIST,66,30189,57010,42056,31266,20988,,,,,,13808821,49246166,26799160,14815532,6674344,,,,,
2.26033997536,1577122812.73,2.25999999046326,456,869,639,480,319,552.6,-25,0,FIST,67,30645,57879,42695,31746,21307,,,,,,14016757,50001327,27207481,15045932,6776105,,,,,
2.28504896164,1577122812.76,2.28999996185303,457,869,638,480,319,552.6,-25,0,FIST,68,31102,58748,43333,32226,21626,,,,,,14225606,50756488,27614525,15276332,6877866,,,,,
2.30534386635,1577122812.78,2.30999994277954,455,869,638,479,319,552,-25.6,-29.5640708135171,FIST,69,31557,59617,43971,32705,21945,,,,,,14432631,51511649,28021569,15505773,6979627,,,,,
2.32971692085,1577122812.8,2.32999992370605,457,868,639,478,319,552.2,-25.4,8.2057831528684,FIST,70,32014,60485,44610,33183,22264,,,,,,14641480,52265073,28429890,15734257,7081388,,,,,
2.35049104691,1577122812.82,2.34999990463257,457,870,639,480,320,553.2,-24.4,48.1368023430583,FIST,71,32471,61355,45249,33663,22584,,,,,,14850329,53021973,28838211,15964657,7183788,,,,,
2.37509894371,1577122812.85,2.37999987602234,456,870,639,480,319,552.8,-24.8000000000001,-16.254944632249,FIST,72,32927,62225,45888,34143,22903,,,,,,15058265,53778873,29246532,16195057,7285549,,,,,
2.39961194992,1577122812.87,2.39999985694885,456,869,640,480,320,553,-24.6,8.15893400779435,FIST,73,33383,63094,46528,34623,23223,,,,,,15266201,54534034,29656132,16425457,7387949,,,,,
